video_id,title,channel,published_at,description,source,comment_id,text,author,like_count,updated_at,cleaned_text,sentiment,compound,pos,neg,neu,confidence
Gaf_jCnA6mc,ChatGPT Tutorial: How to Use Chat GPT For Beginners,Charlie Chang,2023-04-04 18:09:53+00:00,Get up to 75% off your hosting (only $2.99/mo) + 3 months FREE with Hostinger: https://www.charliechang.com/hostinger/ ^Use ...,youtube_video,,,,,,,,,,,,
Gaf_jCnA6mc,,,2023-04-04 23:51:45+00:00,,youtube_comment,UgxXWftw6OVtb5iFywF4AaABAg,"Hope you find this free ChatGPT class helpful! If you guys have any thoughts or questions, I encourage you to use ChatGPT to write a YouTube comment and post it below 😁 And +1 to anyone that uses ChatGPT to create a response to any comments 😎

Get up to 75% off your hosting (only $2.99/mo) + 3 months FREE with Hostinger: 
https://www.charliechang.com/hostinger/
^Use my code CHARLIECHANG for an exclusive discount!

Join my free AI Community (templates, workflows, AI news, making money with AI, etc): https://www.skool.com/ai-os",@CharlieChang,714.0,2025-11-04 01:34:08+00:00,"Hope you find this free ChatGPT class helpful! If you guys have any thoughts or questions, I encourage you to use ChatGPT to write a YouTube comment and post it below And +1 to anyone that uses ChatGPT to create a response to any comments Get up to 75% off your hosting (only $2.99/mo) + 3 months FREE with Hostinger: ^Use my code CHARLIECHANG for an exclusive discount! Join my free AI Community (templates, workflows, AI news, making money with AI, etc):",positive,0.9766,0.267,0.0,0.733,0.733
Gaf_jCnA6mc,,,2023-05-07 21:01:53+00:00,,youtube_comment,UgykZbFDTCTevdD7oV14AaABAg,"When I was a child, around 1960, there was a children's book called The Homework Machine.  It was about a child who had accessed a computer.  He used the computer to pretty much do his homework for him.  ChatGPT might be today's homework machine.",@robertholt4409,124.0,2023-05-07 21:01:53+00:00,"When I was a child, around 1960, there was a children's book called The Homework Machine. It was about a child who had accessed a computer. He used the computer to pretty much do his homework for him. ChatGPT might be today's homework machine.",positive,0.4939,0.069,0.0,0.931,0.931
Gaf_jCnA6mc,,,2025-06-18 01:52:46+00:00,,youtube_comment,Ugw1OnZ0rt4VQDbTdmZ4AaABAg,"Charlie nailing those 15 prompts was impressive, just like AICarma helps brands refine their AI strategy.",@ViktoriaFedorova-y8z,382.0,2025-06-18 01:52:46+00:00,"Charlie nailing those 15 prompts was impressive, just like AICarma helps brands refine their AI strategy.",positive,0.8126,0.393,0.0,0.607,0.607
Gaf_jCnA6mc,,,2023-12-24 13:23:10+00:00,,youtube_comment,UgzusK7xiiUk_FDK5fB4AaABAg,"Fantastic! I never knew about ChatGpt before and after listening to you, i feel like i am mastering it already. Your communication skills are amazing. Thank you!",@noelabonhomme,79.0,2023-12-24 13:23:10+00:00,"Fantastic! I never knew about ChatGpt before and after listening to you, i feel like i am mastering it already. Your communication skills are amazing. Thank you!",positive,0.9183,0.361,0.0,0.639,0.639
Gaf_jCnA6mc,,,2024-02-15 05:33:53+00:00,,youtube_comment,Ugxp7WxVNTT3mfCY1uN4AaABAg,Most informative for first timer finally explorging chat GBT.  Thanks a million.,@circuspony72,40.0,2024-02-15 05:33:53+00:00,Most informative for first timer finally explorging chat GBT. Thanks a million.,positive,0.4404,0.209,0.0,0.791,0.791
Gaf_jCnA6mc,,,2025-09-23 01:46:32+00:00,,youtube_comment,Ugzn2XKofCA1kWPUCi54AaABAg,I'm brand-new to Chat GPT and I could not have ask for a better introduction!!  I wish other YouTube videos were this well done.  Thank you Charlie!!,@conebluepottery9715,13.0,2025-09-23 01:46:32+00:00,I'm brand-new to Chat GPT and I could not have ask for a better introduction!! I wish other YouTube videos were this well done. Thank you Charlie!!,positive,0.892,0.336,0.0,0.664,0.664
Gaf_jCnA6mc,,,2024-03-19 14:24:54+00:00,,youtube_comment,UgymJj0DDNPrJaaqc_R4AaABAg,"This is so so helpful, thank you! I have been resisting using AI but this will save so much time.",@NaomiElliott-v8y,7.0,2024-03-19 14:24:54+00:00,"This is so so helpful, thank you! I have been resisting using AI but this will save so much time.",positive,0.844,0.349,0.0,0.651,0.651
Gaf_jCnA6mc,,,2023-06-21 01:26:42+00:00,,youtube_comment,UgxjS2lXpYYsqX0hq3h4AaABAg,"I love how clear and ""user friendly"" lol you are.. great job!",@RenaSavedbyGrace,8.0,2023-06-21 01:26:42+00:00,"I love how clear and ""user friendly"" lol you are.. great job!",positive,0.9531,0.711,0.0,0.289,0.711
Gaf_jCnA6mc,,,2025-05-27 17:13:31+00:00,,youtube_comment,UgyJHD9brhovHgB_wHB4AaABAg,"chat gpt not provide more windows 11 keys, for windows 11 pro retail HypestKey",@anastasiabrejnev,88.0,2025-05-27 17:13:31+00:00,"chat gpt not provide more windows 11 keys, for windows 11 pro retail HypestKey",neutral,0.0,0.0,0.0,1.0,1.0
Gaf_jCnA6mc,,,2024-01-18 03:00:34+00:00,,youtube_comment,UgxBLxnquBqOZ9RQyS54AaABAg,"awesome thinker, thinking about thinking",@DwightD.Harrison,6.0,2024-01-18 03:00:34+00:00,"awesome thinker, thinking about thinking",positive,0.6249,0.506,0.0,0.494,0.506
Gaf_jCnA6mc,,,2026-02-06 17:37:41+00:00,,youtube_comment,UgwWDe6GHukHER33u_F4AaABAg,This was AWESOME!!  I'm 63 years old and needed to learn this from someone who shows examples and explains it to someone new to it.  Thank you!,@SteveK139,1.0,2026-02-06 17:37:41+00:00,This was AWESOME!! I'm 63 years old and needed to learn this from someone who shows examples and explains it to someone new to it. Thank you!,positive,0.8485,0.247,0.0,0.753,0.753
Gaf_jCnA6mc,,,2023-12-05 16:43:09+00:00,,youtube_comment,UgxSptX2NkO7FsUoo_Z4AaABAg,"Charlie, I am 64 years old. I S*CK at technology. Your video/explanation/tutorial ROCKED! Thank you!",@tomryan4478,3.0,2023-12-05 16:43:09+00:00,"Charlie, I am 64 years old. I S*CK at technology. Your video/explanation/tutorial ROCKED! Thank you!",positive,0.4738,0.181,0.0,0.819,0.819
Gaf_jCnA6mc,,,2024-03-06 22:38:58+00:00,,youtube_comment,Ugykoc3pEioPLFbKzql4AaABAg,Great video!! You included a lots of facts without sounding dead and boring.,@parvez-188,1.0,2024-03-06 22:38:58+00:00,Great video!! You included a lots of facts without sounding dead and boring.,positive,0.7799,0.398,0.113,0.49,0.49
Gaf_jCnA6mc,,,2025-07-16 04:21:07+00:00,,youtube_comment,Ugy6z73CeObHuvce4lB4AaABAg,I can’t believe how much I learned in just a few minutes!,@raphaellanabihasoaresbouanniso,3.0,2025-07-16 04:21:07+00:00,I cant believe how much I learned in just a few minutes!,neutral,0.0,0.0,0.0,1.0,1.0
Gaf_jCnA6mc,,,2025-05-22 11:40:31+00:00,,youtube_comment,UgyY0WD1U2Y0UWtLxEB4AaABAg,Thank you for explaining chatgpt in simple terms to me,@lydiamusoni8573,1.0,2025-05-22 11:40:31+00:00,Thank you for explaining chatgpt in simple terms to me,positive,0.3612,0.217,0.0,0.783,0.783
Gaf_jCnA6mc,,,2023-07-02 00:48:18+00:00,,youtube_comment,Ugzm7hjK4ojf3GBTuQ14AaABAg,"Thank you!!! I never realized just how deep chatept goes! I will find the writing prompts the most helpful. Great job, clear, concise, and through.",@bookworm81151,6.0,2023-07-02 00:48:18+00:00,"Thank you!!! I never realized just how deep chatept goes! I will find the writing prompts the most helpful. Great job, clear, concise, and through.",positive,0.9292,0.395,0.0,0.605,0.605
Gaf_jCnA6mc,,,2025-05-04 14:38:24+00:00,,youtube_comment,UgwldW08OtBanztMVxt4AaABAg,"This tutorial was so easy to follow, thank you!",@salahbasheer-b6p,1.0,2025-05-04 14:38:24+00:00,"This tutorial was so easy to follow, thank you!",positive,0.7603,0.483,0.0,0.517,0.517
Gaf_jCnA6mc,,,2023-06-01 05:46:05+00:00,,youtube_comment,UgxYB3fKhBf7dfP36_h4AaABAg,"Just discovered your tutorial. Quick, precise and extensive thank you. The one important point I would like to emphasize more is the actual information, replies, advice are not always accurate - as ChatGPT informs us when we sign up. I worry people may forget to check data etc.",@middlecam,9.0,2023-06-01 05:46:05+00:00,"Just discovered your tutorial. Quick, precise and extensive thank you. The one important point I would like to emphasize more is the actual information, replies, advice are not always accurate - as ChatGPT informs us when we sign up. I worry people may forget to check data etc.",positive,0.25,0.125,0.088,0.788,0.788
Gaf_jCnA6mc,,,2025-01-27 20:21:28+00:00,,youtube_comment,UgzNueU2j_FBBA_kLH94AaABAg,"Great training.  Simple, easy to follow instructions.",@roycepittman9535,1.0,2025-01-27 20:21:28+00:00,"Great training. Simple, easy to follow instructions.",positive,0.7906,0.583,0.0,0.417,0.583
Gaf_jCnA6mc,,,2025-04-26 02:33:19+00:00,,youtube_comment,Ugz-DgegH7wXKZP41yx4AaABAg,What a fantastic tutorial! I've learnt so much (I'm 62 and its a whole new world for me even though I was a very early user of a pc in the 80's).,@paperlovecards5375,4.0,2025-04-26 02:33:19+00:00,What a fantastic tutorial! I've learnt so much (I'm 62 and its a whole new world for me even though I was a very early user of a pc in the 80's).,positive,0.5983,0.112,0.0,0.888,0.888
WTF5qphyy8w,ChatGPT Tutorial: 35 Tips I Wish I Knew Sooner,Matt Wolfe,2025-09-10 13:45:02+00:00,The ultimate beginner's guide to ChatGPT. Check out HubSpot's Loop Marketing Prompt Library: https://clickhubspot.com/243145 ...,youtube_video,,,,,,,,,,,,
WTF5qphyy8w,,,2025-09-10 13:49:29+00:00,,youtube_comment,UgylXrkJ-4kD0J9MUad4AaABAg,This kind of step-by-step clarity is what helps move AI adoption from feeling overwhelming to actually empowering.,@AdvantestInc,58.0,2025-09-10 13:49:29+00:00,This kind of step-by-step clarity is what helps move AI adoption from feeling overwhelming to actually empowering.,positive,0.7003,0.327,0.0,0.673,0.673
WTF5qphyy8w,,,2025-09-10 15:44:38+00:00,,youtube_comment,Ugx9YBStJqFW0eI8qGR4AaABAg,Tip:  Avoid asking leading questions.   The LLM's tend to follow your lead but if you want unbiased info ask the question neutrally.,@jimberry7865,50.0,2025-09-10 15:44:38+00:00,Tip: Avoid asking leading questions. The LLM's tend to follow your lead but if you want unbiased info ask the question neutrally.,negative,-0.0772,0.062,0.119,0.819,0.819
WTF5qphyy8w,,,2025-09-15 19:52:16+00:00,,youtube_comment,UgwPgcyifpiNEO0HxS94AaABAg,"For $60/month, you can buy 2 seats of a Teams plan, which basically gets you the Pro plan for $60 instead of $200.",@robo_the_brobo,13.0,2025-09-15 19:52:16+00:00,"For $60/month, you can buy 2 seats of a Teams plan, which basically gets you the Pro plan for $60 instead of $200.",neutral,0.0,0.0,0.0,1.0,1.0
WTF5qphyy8w,,,2025-09-13 03:46:14+00:00,,youtube_comment,Ugx2S4TFyC4kPu3Hnqd4AaABAg,The tip about organizing conversations into projects is so useful! It's like how Rumora helps me keep track of brand mentions online. 😊,@NamitaNanda302,188.0,2025-09-13 03:46:14+00:00,The tip about organizing conversations into projects is so useful! It's like how Rumora helps me keep track of brand mentions online.,positive,0.8554,0.331,0.0,0.669,0.669
WTF5qphyy8w,,,2025-09-10 18:02:12+00:00,,youtube_comment,UgwQnf2Fjdri5rjTwGJ4AaABAg,The definitive ChatGPT tutorial for users who want to make the most of it. Nice!,@braydondymm8487,16.0,2025-09-10 18:02:12+00:00,The definitive ChatGPT tutorial for users who want to make the most of it. Nice!,positive,0.5655,0.264,0.0,0.736,0.736
WTF5qphyy8w,,,2026-01-26 14:13:48+00:00,,youtube_comment,UgzXybiKxGY0wrLuImh4AaABAg,I learned more in ten minutes than I did all week. Talent.,@RIDWANOWOLABI-c8d,1.0,2026-01-26 14:13:48+00:00,I learned more in ten minutes than I did all week. Talent.,positive,0.4215,0.203,0.0,0.797,0.797
WTF5qphyy8w,,,2025-09-10 16:45:59+00:00,,youtube_comment,UgyOwl32n9uaTvNc5PR4AaABAg,"Thank you Matt, this was great to watch",@wc60616,15.0,2025-09-10 16:45:59+00:00,"Thank you Matt, this was great to watch",positive,0.765,0.524,0.0,0.476,0.524
